   Age ( MMYr),  CaCO3 (%)
32,85
32.2,70
32.4,75
32.6,60
32.8,65
33,80
33.2,75
33.4,80
33.6,85
33.8,70
33.81,61.2
33.83,63.9
33.85,53.9
33.87,35.9
33.9,16.7
33.92,5.3
33.94,3.3
33.97,2.5
33.99,1.3
34.01,1.1
34.03,4.1
34.06,10.2
34.11,16.8
34.16,21.3
34.22,17.3
34.27,12.1
34.33,8.1
34.37,11.9
34.42,14.8
34.46,14.8
34.52,8.9
34.57,10
34.64,8.4
34.7,14.4
34.78,10.9
34.84,13.6
34.89,17.7
34.95,20.4
35.01,16.9
35.07,8.6
35.12,11.4
35.17,14.4
35.21,12.9
35.248,2.6
35.25,6.9
35.26,7.3
35.28,14.9
35.281,12
35.289,25.5
35.29,21.1
35.29,17.1
35.3,19.9
35.31,25.3
35.316,24.1
35.317,28.1
35.32,24.7
35.33,29.5
35.33,27.6
35.34,36
35.35,39.8
35.351,42.1
35.352,43.5
35.36,40
35.37,33.2
35.37,37.6
35.38,31.9
35.384,29
35.386,30.5
35.39,29.4
35.4,28
35.41,23.5
35.41,24.9
35.416,20.9
35.42,21.3
35.42,24.8
35.43,19.6
35.432,18.1
35.44,15.1
35.448,11.4
35.45,12.9
35.46,9.9
35.47,6.2
35.475,11.5
35.48,3
35.483,0.3
35.49,0.9
35.5,0.9
35.518,0.2
35.52,3.2
35.53,3.1
35.537,9
35.54,3.2
35.55,0.3
35.57,0.4
35.574,0.2
35.6,0.2
35.61,2
35.629,0.2
35.63,0.3
35.65,0.2
35.67,0.2
35.684,0.2
35.69,0.2
35.71,0.2
35.734,0.2
35.74,0.2
35.74,0.2
35.77,0.4
35.795,0.7
35.8,5.5
35.82,7.7
35.85,7.9
35.851,6.6
35.88,2.9
35.9,0.9
35.905,0.7
35.92,1.2
35.922,0.3
35.94,3.6
35.957,7.8
35.96,3.9
35.97,5.5
35.99,5.8
35.991,7.4
36.01,7.9
36.026,7.6
36.03,9.2
36.04,8.9
36.06,10.6
36.061,7.9
36.08,19.2
36.09,31.7
36.099,36.9
36.11,43.9
36.13,49.4
36.13,52.7
36.15,52.9
36.162,46.1
36.17,50.5
36.19,35.6
36.217,18.8
36.22,29
36.23,23.7
36.25,32.8
36.252,26.2
36.27,37.5
36.285,40.6
36.29,43
36.31,39.7
36.33,40.1
36.356,41.9
36.36,34
36.37,33.2
36.39,29.8
36.391,33.2
36.41,25.7
36.426,11.9
36.43,19.8
36.44,14.4
36.443,15.6
36.46,21.6
36.47,20.8
36.478,33.7
36.48,16.6
36.5,6.3
36.51,7
36.513,2.8
36.53,10.6
36.547,13.7
36.55,14.9
36.57,18
36.584,24.8
36.59,16.6
36.61,16.7
36.63,19.6
36.633,16.1
36.66,29
36.7,37.7
36.729,42.3
36.73,35.7
36.75,26.5
36.754,27.2
36.78,20.4
36.8,18.3
36.802,24
36.83,19.4
36.85,16.6
36.85,13.2
36.87,14.3
36.899,13.9
36.9,10.2
36.92,5.8
36.947,2.4
36.95,4.1
36.97,6.4
36.99,8.9
36.995,7.9
37.01,11.3
37.02,12.5
37.024,15.8
37.05,17.5
37.07,25.5
37.072,25.3
37.1,31.8
37.12,26.5
37.121,30.5
37.14,14.2
37.169,2.7
37.17,4.2
37.19,1.3
37.217,0.7
37.22,2.7
37.24,4.8
37.266,7
37.27,7.9
37.29,12
37.314,19
37.32,17.6
37.34,23.9
37.343,23.9
37.37,26.4
37.386,29.3
37.41,23.7
37.435,10.7
37.45,20.4
37.464,12.1
37.48,24.4
37.493,33.3
37.51,34.6
37.522,38.7
37.525,37.6
37.53,38.2
37.55,28.8
37.552,45.7
37.56,25
37.57,19.3
37.58,34.6
37.581,56
37.6,34.1
37.609,56.8
37.61,46.8
37.62,40.8
37.63,42.2
37.637,48.3
37.64,44.9
37.64,40.6
37.66,51.1
37.665,59.2
37.67,51.5
37.69,53.2
37.72,46.2
37.721,52.2
37.74,46.7
37.78,47.5
37.781,25.7
37.81,48.1
37.811,27.5
37.84,49.3
37.86,40.6
37.861,36
37.89,36.9
37.91,28.2
37.912,30.5
37.93,26.4
37.94,22.9
37.947,21.8
37.95,26.2
37.98,27.2
37.984,15.6
37.99,30.7
38.01,28.3
38.02,25.4
38.03,24.9
38.033,38.6
38.05,21.5
38.05,20.5
38.06,25.2
38.06,21.7
38.07,30.6
38.07,29.8
38.077,24
38.081,31.7
38.09,34.1
38.09,29.6
38.1,31.2
38.11,23.8
38.111,26
38.12,19.8
38.13,18.1
38.13,26.8
38.146,27.2
38.15,18.1
38.154,18.4
38.16,18.2
38.163,14.2
38.17,15.3
38.17,15.4
38.18,12.7
38.19,13.2
38.201,8.3
38.21,11.3
38.213,13.5
38.22,13.3
38.22,15.8
38.24,16.6
38.246,20.1
38.248,16.1
38.25,15.6
38.26,18.3
38.27,16.8
38.27,17.7
38.28,18
38.28,15.6
38.295,17.2
38.3,13.2
38.3,15.7
38.31,18.3
38.313,16.6
38.32,19.7
38.33,19.4
38.34,26.1
38.342,41.3
38.346,15.6
38.35,35.4
38.36,47.8
38.37,52.9
38.38,56.3
38.39,61.4
38.4,64.4
38.403,68.2
38.419,65.5
38.42,64.3
38.43,61.9
38.44,58.6
38.45,55.5
38.45,56
38.46,52.7
38.47,47.8
38.48,40.5
38.482,29.4
38.486,40.9
38.49,37.9
38.49,34.6
38.5,43.7
38.5,33.4
38.508,46.6
38.51,47
38.516,43.5
38.52,45.4
38.52,43.7
38.53,44.6
38.531,46.1
38.533,46
38.54,41
38.54,38.1
38.55,29.6
38.55,31.6
38.56,26.1
38.561,32.8
38.57,20.9
38.57,11
38.58,16.9
38.59,22.3
38.59,31.2
38.595,33.2
38.6,47
38.61,52.3
38.62,56.2
38.62,62.2
38.62,59
38.63,68.7
38.64,65.7
38.642,77.3
38.65,69.6
38.66,74.6
38.66,75
38.66,78.9
38.663,62.5
38.67,75.9
38.68,71
38.682,81.7
38.684,71
38.69,71.3
38.7,67.7
38.707,79.3
38.71,66.8
38.715,79.9
38.73,63.2
38.732,61.7
38.74,66
38.749,60.6
38.75,72.7
38.75,68.6
38.77,45.3
38.77,58.1
38.771,49.5
38.78,52.1
38.798,45.4
38.8,52.9
38.81,54.5
38.826,42.4
38.83,54.2
38.85,51.1
38.853,38.4
38.88,48.5
38.884,43.4
38.9,44.8
38.905,43.1
38.92,49.5
38.93,55.6
38.934,62.9
38.95,54.2
38.962,68.1
38.97,57.7
38.99,56.5
38.993,75
39,55.5
